There are   5036 grains.
Grainsize GrainFarea  GrainFeqR GrainFeqD GrainFsf GrainFfitEangle GrainFfitElongA GrainFfitEshortb GrainFasp
      8.00    15.000000   2.185097   4.370194   1.287878 161.867076   2.779535   1.717787   0.618012
     30.00    30.250000   3.103043   6.206085   1.457364 138.271337   3.586444   2.684797   0.748596
     13.00    13.250000   2.053681   4.107362   1.272059  47.183703   2.265731   1.861477   0.821579
     40.00    45.079167   3.788026   7.576053   1.274146   6.191806   4.223670   3.397317   0.804352
    203.00   209.666667   8.169392  16.338785   1.908396  24.114876  11.633299   5.736891   0.493144
      4.00     4.416667   1.185693   2.371387   1.183298  22.436276   1.271375   1.105786   0.869756
      3.00     4.125000   1.145874   2.291749   1.185533  25.439256   1.366894   0.960592   0.702755
    306.00   309.416667   9.924232  19.848464   1.456423 157.636728  13.541887   7.273018   0.537076
     11.00    13.708333   2.088899   4.177798   1.194837  85.637461   2.308131   1.890490   0.819057
     43.00    45.500000   3.805667   7.611334   1.215767 118.397330   4.212099   3.438452   0.816327
     48.00    52.437500   4.085508   8.171016   1.344036 148.757328   4.830226   3.455610   0.715414
     27.00    31.375000   3.160217   6.320434   1.272592  74.883846   4.099327   2.436247   0.594304
     60.00    63.750000   4.504693   9.009385   1.586341  46.653502   5.032453   4.032279   0.801255
     59.00    64.250000   4.522324   9.044647   1.377536   2.198835   5.176332   3.950947   0.763272
     22.00    24.000000   2.763953   5.527906   1.328486 111.754660   3.465057   2.204707   0.636269
     26.00    28.250000   2.998709   5.997418   1.202501 179.987043   3.859683   2.329791   0.603622
     63.00    65.000000   4.548642   9.097284   1.107659 170.077212   4.635148   4.463750   0.963022
     43.00    44.000000   3.742410   7.484821   1.201086  74.569298   3.833369   3.653610   0.953107
     75.00    81.250000   5.085536  10.171072   1.459978 149.611113   6.486674   3.987048   0.614652
    345.00   352.000000  10.585135  21.170270   1.500548 164.203607  13.183166   8.499102   0.644694
     31.00    35.033333   3.339380   6.678759   1.241078 112.064965   3.715065   3.001685   0.807977
     15.00    16.250000   2.274321   4.548642   1.346583  95.748206   3.022376   1.711414   0.566248
     18.00    20.250000   2.538853   5.077706   1.132834  86.904816   2.787110   2.312709   0.829788
     36.00    39.500000   3.545877   7.091753   1.215072 179.476115   3.697140   3.400802   0.919847
     14.00    15.833333   2.244974   4.489947   1.203428 115.286746   2.329178   2.163814   0.929003
    188.00   194.625000   7.870900  15.741799   1.371958   3.235471   9.476171   6.537563   0.689895
     26.00    29.625000   3.070819   6.141638   1.314568 130.874988   3.901303   2.417123   0.619568
     43.00    52.479167   4.087131   8.174261   1.314910 158.927075   5.161306   3.236513   0.627073
     58.00    62.500000   4.460310   8.920621   1.239178  67.669295   5.498204   3.618339   0.658095
     58.00    60.250000   4.379289   8.758578   1.302100 156.170623   5.123100   3.743470   0.730704
     56.00    57.625000   4.282827   8.565654   1.283381 162.589890   5.250658   3.493392   0.665325
    206.00   210.000000   8.175884  16.351768   1.493616   8.572423  11.919862   5.607873   0.470465
    296.00   311.250000   9.953590  19.907180   1.696428 171.310454  12.702215   7.799738   0.614046
      7.00     8.916667   1.684715   3.369429   1.187845  86.694667   1.804347   1.573014   0.871791
     15.00    16.916667   2.320505   4.641009   1.233731  83.387179   2.976413   1.809138   0.607825
     22.00    24.500000   2.792596   5.585192   1.281476 120.511271   3.140927   2.482895   0.790497
     15.00    17.125000   2.334750   4.669500   1.127192 165.263045   2.628144   2.074109   0.789192
     29.00    29.750000   3.077291   6.154582   1.305529  75.445441   3.573431   2.650036   0.741594
     21.00    24.125000   2.771142   5.542283   1.401147 158.247832   3.333648   2.303551   0.691000
      6.00     6.500000   1.438407   2.876814   1.198130 172.173601   1.676361   1.234230   0.736256
    481.00   494.812500  12.550048  25.100096   1.898810  16.024889  18.009197   8.745737   0.485626
     27.00    34.312500   3.304846   6.609692   1.204019  21.967174   3.570523   3.058938   0.856720
